City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Rawson,AR,2020-09-28 14:38:21,-43.3,-65.1,65.1,29,8,17.09
151,Kysyl-Syr,RU,2020-09-28 14:38:22,63.9,122.76,32.97,93,10,3.71
152,Tuatapere,NZ,2020-09-28 14:38:22,-46.13,167.68,36.0,79,99,20.0
153,Waverly,US,2020-09-28 14:38:22,42.74,-84.62,54.0,93,90,7.0
154,Padang,ID,2020-09-28 14:38:22,-0.95,100.35,79.65,78,100,3.78
155,Santa Cruz,BO,2020-09-28 14:33:52,-17.8,-63.17,66.2,55,75,11.41
156,Anicuns,BR,2020-09-28 14:38:22,-16.46,-49.96,102.34,17,49,0.83
157,Najran,SA,2020-09-28 14:38:22,17.49,44.13,91.4,11,92,9.17
158,Zharkent,KZ,2020-09-28 14:38:23,44.16,80.0,48.7,47,0,2.84
159,Conceicao Do Araguaia,BR,2020-09-28 14:38:23,-8.26,-49.26,101.34,25,0,4.72
160,Hamilton,US,2020-09-28 14:33:34,39.18,-84.53,71.01,88,40,6.93
161,Zhireken,RU,2020-09-28 14:38:23,52.82,117.31,35.98,82,6,4.27
162,Hobart,AU,2020-09-28 14:38:23,-42.88,147.33,48.2,76,90,4.7
163,Honiara,SB,2020-09-28 14:38:24,-9.43,159.95,75.2,94,40,2.24
164,Ponta Do Sol,PT,2020-09-28 14:38:24,32.67,-17.1,73.99,51,11,5.01
165,Singaparna,ID,2020-09-28 14:38:24,-7.35,108.11,71.02,89,77,3.18
166,Sabang,ID,2020-09-28 14:38:24,5.89,95.32,82.94,77,100,18.1
167,Bredasdorp,ZA,2020-09-28 14:38:24,-34.53,20.04,66.2,39,0,18.34
168,Capaccio,IT,2020-09-28 14:38:24,40.42,15.08,60.8,87,75,4.7
169,Haapiti,PF,2020-09-28 14:38:24,-17.57,-149.87,73.4,88,20,3.36
170,Arica,CL,2020-09-28 14:37:57,-18.48,-70.3,64.0,67,28,10.29
171,Sioux Lookout,CA,2020-09-28 14:38:25,50.1,-91.92,46.4,87,90,9.17
172,New Norfolk,AU,2020-09-28 14:38:25,-42.78,147.06,48.0,84,20,1.83
173,Arraial Do Cabo,BR,2020-09-28 14:38:25,-22.97,-42.03,84.2,62,1,3.36
174,Khoy,IR,2020-09-28 14:38:25,38.55,44.95,71.04,38,7,5.3
175,Busembatia,UG,2020-09-28 14:38:26,0.77,33.61,78.89,65,67,1.36
176,San Cristobal,VE,2020-09-28 14:38:26,7.77,-72.22,82.4,54,40,2.24
177,Kasongo-Lunda,CD,2020-09-28 14:38:26,-6.47,16.82,87.04,50,100,3.98
178,Hualmay,PE,2020-09-28 14:38:26,-11.1,-77.61,66.97,66,73,6.91
179,Qaqortoq,GL,2020-09-28 14:38:26,60.72,-46.03,37.4,40,5,3.36
180,Begun,IN,2020-09-28 14:38:26,24.98,75.0,80.58,53,50,3.74
181,Yulara,AU,2020-09-28 14:38:26,-25.24,130.99,69.8,77,90,8.05
182,Nuevo San Juan Parangaricutiro,MX,2020-09-28 14:36:26,19.4,-102.13,60.8,100,90,0.43
183,Meulaboh,ID,2020-09-28 14:38:27,4.14,96.13,79.0,83,97,4.03
184,Xai-Xai,MZ,2020-09-28 14:38:27,-25.05,33.64,72.07,79,72,14.34
185,Gat,IL,2020-09-28 14:35:04,31.61,34.76,89.01,67,0,12.01
186,Saint-Philippe,RE,2020-09-28 14:38:27,-21.36,55.77,75.2,73,45,3.36
187,Bonthe,SL,2020-09-28 14:38:27,7.53,-12.51,83.32,70,75,8.01
188,Comodoro Rivadavia,AR,2020-09-28 14:36:04,-45.87,-67.5,60.8,44,100,24.16
189,Leningradskiy,RU,2020-09-28 14:38:27,69.38,178.42,32.58,90,96,4.38
190,Richards Bay,ZA,2020-09-28 14:38:28,-28.78,32.04,61.74,86,98,9.8
191,Mount Gambier,AU,2020-09-28 14:35:07,-37.83,140.77,44.6,87,100,6.93
192,Bhadrachalam,IN,2020-09-28 14:38:28,17.67,80.88,78.67,85,38,2.86
193,Kostomuksha,RU,2020-09-28 14:38:28,64.57,30.58,54.55,86,100,4.25
194,Kemijarvi,FI,2020-09-28 14:38:28,66.71,27.43,53.28,93,51,4.27
195,Tiznit,MA,2020-09-28 14:38:28,29.58,-9.5,88.95,21,11,3.58
196,Klaksvik,FO,2020-09-28 14:38:28,62.23,-6.59,50.0,93,96,12.75
197,Kalabo,ZM,2020-09-28 14:38:29,-14.97,22.68,98.56,13,5,3.87
198,Saint-Georges,GD,2020-09-28 14:38:29,12.06,-61.75,82.4,83,40,13.87
199,Raudeberg,NO,2020-09-28 14:38:29,61.99,5.14,57.99,85,63,14.79
200,Hammerfest,NO,2020-09-28 14:38:29,70.66,23.68,51.8,71,40,5.82
201,Monrovia,LR,2020-09-28 14:38:29,6.3,-10.8,87.8,74,75,11.41
202,Nishihara,JP,2020-09-28 14:38:29,26.18,127.76,78.8,78,40,3.36
203,Turukhansk,RU,2020-09-28 14:38:29,65.82,87.98,34.14,88,99,12.26
