City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Pacific Grove,US,36.62,-121.92,91.0,59,1,5.82,clear sky
149,Lompoc,US,34.64,-120.46,71.6,64,1,10.29,clear sky
150,Arlit,NE,18.74,7.39,96.37,10,51,7.52,broken clouds
151,Bridlington,GB,54.08,-0.19,57.2,93,100,6.93,moderate rain
152,Ixtapa,MX,20.7,-105.2,90.0,70,20,10.29,few clouds
153,San Andres,CO,12.58,-81.7,84.42,69,100,2.95,overcast clouds
154,Yumen,CN,40.28,97.2,38.05,60,0,5.5,clear sky
155,Puerto Ayora,EC,-0.74,-90.35,75.2,64,40,20.8,scattered clouds
156,Mount Isa,AU,-20.73,139.5,75.2,25,2,8.05,clear sky
157,Marystown,CA,47.17,-55.15,66.99,100,21,13.71,few clouds
158,Barrow,US,71.29,-156.79,32.0,95,90,18.34,mist
159,Katobu,ID,-4.94,122.53,74.91,91,98,2.66,light rain
160,Gornopravdinsk,RU,60.05,69.9,44.29,94,79,3.0,broken clouds
161,Sao Joao Da Barra,BR,-21.64,-41.05,77.0,78,0,25.28,clear sky
162,Pedasi,PA,7.53,-80.03,81.75,75,98,3.62,light rain
163,Nome,US,64.5,-165.41,48.99,57,1,18.34,clear sky
164,Meulaboh,ID,4.14,96.13,77.45,87,63,4.43,light rain
165,Esmeraldas,BR,-19.76,-44.31,87.8,33,77,10.29,broken clouds
166,Shu,KZ,43.6,73.76,50.68,44,100,3.8,overcast clouds
167,Missoula,US,47.02,-113.8,75.99,31,1,4.7,clear sky
168,Nanortalik,GL,60.14,-45.24,34.12,84,97,10.69,overcast clouds
169,Cockburn Town,TC,21.46,-71.14,86.0,74,40,18.34,scattered clouds
170,Muzhi,RU,65.37,64.67,45.91,80,5,8.37,clear sky
171,Senneterre,CA,48.38,-77.23,51.8,87,75,5.82,broken clouds
172,Ostersund,SE,63.18,14.64,50.0,81,0,10.29,clear sky
173,Flin Flon,CA,54.77,-101.86,44.6,70,75,13.87,light intensity shower rain
174,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.6,83,75,13.87,broken clouds
175,Kalianget,ID,-7.05,113.93,81.19,75,51,8.99,broken clouds
176,Santa Lucia,ES,27.91,-15.54,73.4,69,20,19.46,few clouds
177,Nemuro,JP,43.32,145.57,57.51,83,83,11.56,broken clouds
178,Semirom,IR,31.42,51.57,41.54,78,6,1.83,clear sky
179,Quatre Cocos,MU,-20.21,57.76,70.0,88,75,5.82,broken clouds
180,Bud,US,39.45,-86.18,70.0,45,90,5.82,overcast clouds
181,Hornepayne,CA,49.21,-84.77,45.61,95,100,6.11,light rain
182,Norman Wells,CA,65.28,-126.83,51.8,57,75,12.75,broken clouds
183,Tamiahua,MX,21.27,-97.45,78.13,50,4,5.91,clear sky
184,Saskylakh,RU,71.92,114.08,25.41,96,83,0.49,broken clouds
185,Axim,GH,4.87,-2.24,76.12,89,100,8.5,overcast clouds
186,Nishihara,JP,26.18,127.76,77.0,78,20,5.82,few clouds
187,Mbandaka,CD,0.05,18.26,72.43,94,100,2.42,light rain
188,Neryungri,RU,56.67,124.65,37.89,91,100,5.46,overcast clouds
189,Haines Junction,CA,60.75,-137.51,48.72,64,97,2.95,overcast clouds
190,Upernavik,GL,72.79,-56.15,24.69,91,65,6.6,broken clouds
